epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,17.2898,2.06419,24.5086,0.00667,0,0,0,0,1.21393,4.04785,0.00324,0.0042,0.0014,0.0042,0.0014,0.0902,0.0874,0.0042,0.0014
2,23.1909,1.44529,16.4122,0.00508,0.14634,0.46154,0.28838,0.08185,1.2335,4.41324,0.0037,0.00869905,0.00289968,0.00869905,0.00289968,0.079699,0.0738997,0.00869905,0.00289968
3,28.6728,1.38542,11.3801,0.0048,0.05455,0.46154,0.19771,0.0539,1.49738,4.2103,0.00439,0.0131942,0.00439807,0.0131942,0.00439807,0.0691942,0.0603981,0.0131942,0.00439807
4,33.9411,1.39685,8.24821,0.00458,0.10309,0.76923,0.23905,0.02811,1.7557,4.09098,0.00551,0.0176825,0.00589418,0.0176825,0.00589418,0.0586825,0.0468942,0.0176825,0.00589418
5,38.9394,1.37191,6.64711,0.00462,0.06202,0.61538,0.07165,0.01864,2.46721,3.80824,0.00925,0.0221611,0.00738703,0.0221611,0.00738703,0.0481611,0.033387,0.0221611,0.00738703
6,43.9673,1.42119,6.1157,0.00427,0.32944,0.38462,0.44843,0.13898,2.47552,2.04308,0.0088,0.0266269,0.00887563,0.0266269,0.00887563,0.0376269,0.0198756,0.0266269,0.00887563
7,48.7968,1.34993,5.61487,0.00445,0.28078,0.38462,0.38289,0.06768,2.94781,1.99628,0.01181,0.0298818,0.00996059,0.0298818,0.00996059,0.0298818,0.00996059,0.0298818,0.00996059
8,53.8282,1.39371,4.72314,0.00485,0.79457,0.38462,0.60097,0.09776,3.28876,1.56195,0.01328,0.0298392,0.00994639,0.0298392,0.00994639,0.0298392,0.00994639,0.0298392,0.00994639
9,58.57,1.34367,4.64122,0.00434,0.96588,0.46154,0.63356,0.16204,2.85353,1.74909,0.01133,0.02979,0.00993002,0.02979,0.00993002,0.02979,0.00993002,0.02979,0.00993002
10,63.5783,1.44047,3.71147,0.00463,0.33617,0.38462,0.25957,0.05233,2.84434,2.62534,0.01153,0.0297344,0.00991148,0.0297344,0.00991148,0.0297344,0.00991148,0.0297344,0.00991148
11,68.3504,1.40969,3.22471,0.00428,0.42122,0.46154,0.27836,0.05688,2.58492,2.96109,0.01086,0.0296724,0.00989079,0.0296724,0.00989079,0.0296724,0.00989079,0.0296724,0.00989079
12,73.3547,1.29869,2.72537,0.0038,0.67566,0.30769,0.57577,0.15361,2.41528,2.82758,0.0093,0.0296039,0.00986796,0.0296039,0.00986796,0.0296039,0.00986796,0.0296039,0.00986796
13,78.089,1.35502,2.36807,0.00393,0.56135,0.92308,0.67379,0.16801,3.03893,1.74697,0.01183,0.029529,0.00984299,0.029529,0.00984299,0.029529,0.00984299,0.029529,0.00984299
14,83.2066,1.3581,1.99306,0.00386,0.52596,0.92308,0.64736,0.13839,3.06594,1.68561,0.01185,0.0294477,0.0098159,0.0294477,0.0098159,0.0294477,0.0098159,0.0294477,0.0098159
15,87.9318,1.40328,1.84963,0.00439,0.29667,0.46154,0.19961,0.02965,3.7748,1.63084,0.0169,0.0293601,0.0097867,0.0293601,0.0097867,0.0293601,0.0097867,0.0293601,0.0097867
16,92.8686,1.26033,1.59755,0.00348,0.84773,0.92308,0.90738,0.4201,1.74729,0.93047,0.00709,0.0292662,0.0097554,0.0292662,0.0097554,0.0292662,0.0097554,0.0292662,0.0097554
17,97.7358,1.44199,1.68785,0.00419,0.70587,0.92308,0.74295,0.1919,2.9445,3.39202,0.01102,0.0291661,0.00972202,0.0291661,0.00972202,0.0291661,0.00972202,0.0291661,0.00972202
18,102.79,1.31764,1.46262,0.00419,0.73643,0.46154,0.43972,0.09952,3.38008,1.24655,0.01486,0.0290597,0.00968657,0.0290597,0.00968657,0.0290597,0.00968657,0.0290597,0.00968657
19,107.578,1.33508,1.32826,0.00419,0.80781,0.76923,0.75866,0.18003,2.84178,1.63299,0.01142,0.0289472,0.00964906,0.0289472,0.00964906,0.0289472,0.00964906,0.0289472,0.00964906
20,112.696,1.28836,1.30432,0.00401,0.78324,1,0.92393,0.34557,2.29885,3.10413,0.00831,0.0288285,0.00960951,0.0288285,0.00960951,0.0288285,0.00960951,0.0288285,0.00960951
21,117.612,1.23661,1.22549,0.0037,0.85256,1,0.91451,0.44987,1.84774,2.74812,0.00684,0.0287038,0.00956794,0.0287038,0.00956794,0.0287038,0.00956794,0.0287038,0.00956794
22,123.133,1.29015,1.22791,0.00412,0.84253,0.8244,0.77216,0.35481,2.18059,1.59225,0.00719,0.0285731,0.00952437,0.0285731,0.00952437,0.0285731,0.00952437,0.0285731,0.00952437
23,128.036,1.23753,1.07554,0.00381,0.89463,0.92308,0.9044,0.2858,2.49728,1.32062,0.00907,0.0284365,0.00947882,0.0284365,0.00947882,0.0284365,0.00947882,0.0284365,0.00947882
24,133.41,1.20308,0.92394,0.00345,0.91586,0.92308,0.86876,0.47896,1.61209,1.53487,0.00448,0.0282939,0.0094313,0.0282939,0.0094313,0.0282939,0.0094313,0.0282939,0.0094313
25,138.358,1.2235,0.97222,0.00383,0.90369,1,0.92929,0.49664,1.78455,1.33844,0.00516,0.0281455,0.00938184,0.0281455,0.00938184,0.0281455,0.00938184,0.0281455,0.00938184
26,143.423,1.27631,0.86466,0.00393,0.40205,0.84615,0.48776,0.23499,2.30488,2.16345,0.0068,0.0279914,0.00933046,0.0279914,0.00933046,0.0279914,0.00933046,0.0279914,0.00933046
27,148.268,1.2471,0.87501,0.00367,0.50637,0.84615,0.49629,0.19475,2.5852,1.72433,0.00808,0.0278315,0.00927718,0.0278315,0.00927718,0.0278315,0.00927718,0.0278315,0.00927718
28,153.269,1.26547,0.84241,0.00402,0.84477,1,0.90458,0.38773,2.25195,1.11862,0.00678,0.0276661,0.00922203,0.0276661,0.00922203,0.0276661,0.00922203,0.0276661,0.00922203
29,158.142,1.21761,0.84715,0.0037,0.88647,0.92308,0.87844,0.36458,2.03843,2.56925,0.00569,0.0274951,0.00916502,0.0274951,0.00916502,0.0274951,0.00916502,0.0274951,0.00916502
30,163.106,1.26155,0.85385,0.00405,0.84797,1,0.91451,0.3832,2.13452,1.07114,0.00663,0.0273186,0.00910619,0.0273186,0.00910619,0.0273186,0.00910619,0.0273186,0.00910619
31,167.875,1.24537,0.90609,0.00403,0.79667,1,0.8292,0.35625,2.1807,0.93532,0.00692,0.0271367,0.00904556,0.0271367,0.00904556,0.0271367,0.00904556,0.0271367,0.00904556
32,172.883,1.19164,0.83173,0.00378,0.74849,0.9161,0.74461,0.27547,2.53846,1.06128,0.00841,0.0269495,0.00898316,0.0269495,0.00898316,0.0269495,0.00898316,0.0269495,0.00898316
33,177.624,1.29589,0.73716,0.00373,0.79981,1,0.86926,0.40863,2.00279,0.76621,0.00651,0.026757,0.00891901,0.026757,0.00891901,0.026757,0.00891901,0.026757,0.00891901
34,182.713,1.24893,0.69524,0.00368,0.85239,1,0.86233,0.51552,1.58783,0.75691,0.00483,0.0265594,0.00885314,0.0265594,0.00885314,0.0265594,0.00885314,0.0265594,0.00885314
35,187.499,1.33001,0.70853,0.00409,0.91516,1,0.95714,0.55006,1.62869,0.57432,0.00505,0.0263567,0.00878558,0.0263567,0.00878558,0.0263567,0.00878558,0.0263567,0.00878558
36,192.574,1.26115,0.66972,0.00371,0.92819,0.99469,0.94571,0.4163,2.09044,0.65392,0.00617,0.0261491,0.00871637,0.0261491,0.00871637,0.0261491,0.00871637,0.0261491,0.00871637
37,197.365,1.28879,0.75529,0.00378,0.86541,0.98982,0.92644,0.4679,1.83988,0.61413,0.00474,0.0259366,0.00864552,0.0259366,0.00864552,0.0259366,0.00864552,0.0259366,0.00864552
38,202.33,1.16398,0.71688,0.00333,0.91748,0.92308,0.91451,0.50848,1.428,0.56662,0.0034,0.0257192,0.00857308,0.0257192,0.00857308,0.0257192,0.00857308,0.0257192,0.00857308
39,207.045,1.22368,0.62971,0.00361,0.85921,1,0.91451,0.58325,1.39671,0.53987,0.00404,0.0254972,0.00849907,0.0254972,0.00849907,0.0254972,0.00849907,0.0254972,0.00849907
40,212.081,1.21752,0.68437,0.00355,0.90998,1,0.92929,0.60216,1.36219,0.57311,0.0036,0.0252706,0.00842352,0.0252706,0.00842352,0.0252706,0.00842352,0.0252706,0.00842352
41,216.889,1.17652,0.56337,0.00323,0.92348,1,0.92393,0.50214,1.61508,0.64084,0.00418,0.0250394,0.00834648,0.0250394,0.00834648,0.0250394,0.00834648,0.0250394,0.00834648
42,221.957,1.21003,0.66883,0.00373,0.90837,1,0.92393,0.38346,2.06014,0.79767,0.00561,0.0248039,0.00826797,0.0248039,0.00826797,0.0248039,0.00826797,0.0248039,0.00826797
43,226.691,1.25075,0.63458,0.00379,0.87199,0.76923,0.856,0.38343,1.89995,1.03976,0.00539,0.0245641,0.00818803,0.0245641,0.00818803,0.0245641,0.00818803,0.0245641,0.00818803
44,231.765,1.18885,0.63375,0.00349,0.91756,1,0.92393,0.44761,1.92349,0.75786,0.00605,0.0243201,0.00810669,0.0243201,0.00810669,0.0243201,0.00810669,0.0243201,0.00810669
45,236.589,1.23092,0.64202,0.00334,0.86626,0.99675,0.90458,0.43578,1.96226,0.69724,0.00593,0.024072,0.00802398,0.024072,0.00802398,0.024072,0.00802398,0.024072,0.00802398
46,241.651,1.19353,0.56655,0.00328,0.91558,1,0.92929,0.50882,1.74746,0.59005,0.00537,0.0238199,0.00793996,0.0238199,0.00793996,0.0238199,0.00793996,0.0238199,0.00793996
47,246.414,1.14689,0.59681,0.00344,0.85972,1,0.87233,0.5662,1.38655,0.64214,0.00426,0.0235639,0.00785464,0.0235639,0.00785464,0.0235639,0.00785464,0.0235639,0.00785464
48,251.493,1.08576,0.59643,0.00331,0.86448,0.98232,0.91451,0.6152,1.25802,0.53184,0.00367,0.0233042,0.00776807,0.0233042,0.00776807,0.0233042,0.00776807,0.0233042,0.00776807
49,256.19,1.1486,0.58786,0.00359,0.92818,0.99447,0.92393,0.6196,1.29502,0.51644,0.00387,0.0230409,0.00768029,0.0230409,0.00768029,0.0230409,0.00768029,0.0230409,0.00768029
50,261.193,1.23917,0.61022,0.00364,0.86543,1,0.86679,0.60097,1.13002,0.55178,0.00286,0.022774,0.00759134,0.022774,0.00759134,0.022774,0.00759134,0.022774,0.00759134
51,265.935,1.10179,0.48668,0.0031,0.92452,1,0.92393,0.6945,1.07091,0.45877,0.00255,0.0225037,0.00750125,0.0225037,0.00750125,0.0225037,0.00750125,0.0225037,0.00750125
52,271.01,1.16379,0.55142,0.00345,0.86417,1,0.91451,0.63307,1.25622,0.52252,0.00394,0.0222302,0.00741006,0.0222302,0.00741006,0.0222302,0.00741006,0.0222302,0.00741006
53,275.737,1.19452,0.5613,0.00368,0.9143,0.92308,0.91451,0.59192,1.35754,0.53526,0.00411,0.0219535,0.00731782,0.0219535,0.00731782,0.0219535,0.00731782,0.0219535,0.00731782
54,280.834,1.14051,0.56585,0.00345,0.92479,1,0.92393,0.4829,1.80658,0.5347,0.00551,0.0216737,0.00722456,0.0216737,0.00722456,0.0216737,0.00722456,0.0216737,0.00722456
55,285.597,1.1136,0.52342,0.00318,0.92131,1,0.92393,0.57923,1.42484,0.52454,0.00413,0.021391,0.00713033,0.021391,0.00713033,0.021391,0.00713033,0.021391,0.00713033
56,290.692,1.1316,0.56987,0.00338,0.92311,1,0.92393,0.60171,1.35045,0.44363,0.00377,0.0211055,0.00703517,0.0211055,0.00703517,0.0211055,0.00703517,0.0211055,0.00703517
57,295.378,1.08311,0.4617,0.00309,0.91969,1,0.92393,0.58228,1.42504,0.48599,0.00407,0.0208173,0.00693911,0.0208173,0.00693911,0.0208173,0.00693911,0.0208173,0.00693911
58,300.386,1.25176,0.59116,0.00373,0.92411,1,0.92393,0.60613,1.33572,0.42959,0.00316,0.0205266,0.0068422,0.0205266,0.0068422,0.0205266,0.0068422,0.0205266,0.0068422
59,305.232,1.15264,0.55796,0.00319,0.92429,1,0.92393,0.55292,1.53998,0.50111,0.00417,0.0202335,0.00674449,0.0202335,0.00674449,0.0202335,0.00674449,0.0202335,0.00674449
60,310.22,1.07102,0.55933,0.00352,0.92141,1,0.92393,0.66015,1.03806,0.44268,0.00295,0.019938,0.00664601,0.019938,0.00664601,0.019938,0.00664601,0.019938,0.00664601
61,315.006,1.13276,0.51536,0.00307,0.92409,1,0.92393,0.68948,0.99833,0.40774,0.00268,0.0196404,0.00654681,0.0196404,0.00654681,0.0196404,0.00654681,0.0196404,0.00654681
62,320.015,1.09143,0.51689,0.00342,0.92446,1,0.92393,0.66917,1.11172,0.40343,0.00262,0.0193408,0.00644694,0.0193408,0.00644694,0.0193408,0.00644694,0.0193408,0.00644694
63,324.722,1.15847,0.51647,0.00336,0.92402,1,0.92393,0.57822,1.42676,0.43455,0.0035,0.0190393,0.00634643,0.0190393,0.00634643,0.0190393,0.00634643,0.0190393,0.00634643
64,329.754,1.0879,0.48835,0.00343,0.92325,1,0.92393,0.45517,1.90861,0.63971,0.00581,0.018736,0.00624533,0.018736,0.00624533,0.018736,0.00624533,0.018736,0.00624533
65,334.594,1.05026,0.53941,0.00315,0.80282,1,0.84188,0.56398,1.30139,0.78032,0.00339,0.0184311,0.00614368,0.0184311,0.00614368,0.0184311,0.00614368,0.0184311,0.00614368
66,339.61,1.10852,0.50643,0.00323,0.86005,1,0.876,0.54675,1.55505,0.7965,0.00412,0.0181246,0.00604154,0.0181246,0.00604154,0.0181246,0.00604154,0.0181246,0.00604154
67,344.471,1.10815,0.4802,0.00313,0.91644,1,0.92393,0.52619,1.54206,0.73236,0.00382,0.0178168,0.00593894,0.0178168,0.00593894,0.0178168,0.00593894,0.0178168,0.00593894
68,349.445,1.09172,0.50654,0.00327,0.9084,1,0.92393,0.56633,1.35213,0.93468,0.00335,0.0175078,0.00583593,0.0175078,0.00583593,0.0175078,0.00583593,0.0175078,0.00583593
69,354.301,1.13772,0.48954,0.00332,0.64847,0.99362,0.77952,0.49118,1.42346,1.01077,0.00387,0.0171976,0.00573255,0.0171976,0.00573255,0.0171976,0.00573255,0.0171976,0.00573255
70,359.27,1.04021,0.48282,0.00305,0.85102,1,0.91451,0.52164,1.554,0.71849,0.00415,0.0168866,0.00562885,0.0168866,0.00562885,0.0168866,0.00562885,0.0168866,0.00562885
71,364.072,1.05092,0.49075,0.00305,0.92841,0.99776,0.92393,0.61694,1.19321,0.59614,0.00309,0.0165746,0.00552488,0.0165746,0.00552488,0.0165746,0.00552488,0.0165746,0.00552488
72,369.067,1.00102,0.48347,0.00302,0.8611,1,0.91451,0.61809,1.21234,0.50115,0.00324,0.016262,0.00542068,0.016262,0.00542068,0.016262,0.00542068,0.016262,0.00542068
73,373.889,1.07655,0.49717,0.0031,0.92791,0.99078,0.92393,0.60586,1.2684,0.46137,0.0031,0.0159489,0.0053163,0.0159489,0.0053163,0.0159489,0.0053163,0.0159489,0.0053163
74,379.07,0.98032,0.41545,0.00284,0.91968,1,0.92929,0.57486,1.38098,0.51133,0.00369,0.0156353,0.00521177,0.0156353,0.00521177,0.0156353,0.00521177,0.0156353,0.00521177
75,383.844,1.1193,0.47524,0.00331,0.92081,1,0.92929,0.60247,1.37068,0.53135,0.00353,0.0153215,0.00510716,0.0153215,0.00510716,0.0153215,0.00510716,0.0153215,0.00510716
